Disease,Protein
D137215,Q13360
D137215,O96017
D137215,P35398
D137215,P30043
D137215,O15119
D137215,Q99541
D137215,Q9HCG1
D137215,P11172
D137215,P42330
D137215,Q9Y5X3
D137215,Q12983
D137215,Q15726
D137215,P49821
D137215,P63220
D137215,P05771
D137215,Q9UBW8
D137215,P13598
D137215,P11142
D137215,P47895
D137215,Q07020
D137215,P58340
D137215,P48147
D137215,P04818
D137215,O00567
D137215,Q9P1U0
D137215,Q9UBC3
D137215,P25116
D137215,Q13421
D137215,O15392
D137215,P04155
D137215,Q9Y606
D137215,P24385
D137215,P53597
D137215,P04637
D137215,O43240
D137215,Q9UQ80
D137215,P23560
D137215,P24522
D137215,Q13761
D137215,P08588
D137215,O43837
D137215,Q99832
D137215,O15213
D137215,O14494
D137215,Q92851
D137215,P01350
D137215,Q9H3N8
D137215,Q9BQE3
D137215,P49789
D137215,P43246
D137215,P35232
D137215,P05121
D137215,P18887
D137215,P35900
D137215,P17661
D137215,O60565
D137215,P00915
D137215,P05120
D137215,P39019
D137215,P35326
D137215,Q9BZM5
D137215,Q16674
D137215,Q96EP1
D137215,Q96PD2
D137215,P09467
D137215,P49788
D137215,O43818
D137215,P37231
D137215,Q68DV7
D137215,Q53FT3
D137215,Q9Y478
D137215,P05787
D137215,P19883
D137215,P02768
D137215,Q8N8Y2
D137215,P09237
D137215,P02771
D137215,P08758
D137215,Q9P0L2
D137215,Q9Y2B0
D137215,P51790
D137215,P40763
D137215,P20645
D137215,Q92560
D137215,O94886
D137215,P30044
D137215,P06241
D137215,Q9UKU7
D137215,Q05639
D137215,O43312
D137215,P26885
D137215,Q9H3H5
D137215,P15514
D137215,Q16270
D137215,P09917
D137215,P04792
D137215,P06748
D137215,Q8N6H7
D137215,Q9UMS4
D137215,P06753
D137215,P04156
D137215,P01375
D137215,P07992
D137215,P17936
D137215,P41220
D137215,P35221
D137215,Q13286
D137215,O43542
D137215,P42898
D137215,P27361
D137215,Q07011
D137215,P24001
D137215,O15551
D137215,Q15257
D137215,O76096
D137215,P41273
D137215,Q13485
D137215,Q13228
D137215,P02647
D137215,Q14213
D137215,Q99612
D137215,P08908
D137215,P10914
D137215,P19971
D137215,O60427
D137215,P18510
D137215,P30084
D137215,P18075
D137215,P00749
D137215,P09601
D137215,Q03135
D137215,P15056
D137215,Q07817
D137215,O43678
D137215,P43004
D137215,P61586
D137215,P35625
D137215,P01584
D137215,P01106
D137215,P02679
D137215,P35869
D137215,Q9P2T1
D137215,Q99075
D137215,Q9Y2Y1
D137215,Q12931
D137215,Q8IW45
D137215,P28702
D137215,Q8NC51
D137215,Q9BYZ8
D137215,P14866
D137215,P54725
D137215,P05231
D137215,P08559
D137215,P28331
D137215,P26232
D137215,P47928
D137215,Q9Y676
D137215,P01135
D137215,Q9BYD1
D137215,P82912
D137215,P68104
D137215,P09238
D137215,P11802
D137215,P18074
D137215,P12643
D137215,P18669
D137215,Q9UK53
D137215,Q15672
D137215,P01037
D137215,P12830
D137215,P10145
D137215,P61313
D137215,Q9UIF7
D137215,P21802
D137215,Q92567
D137215,Q92754
D137215,Q14790
D137215,Q9ULW3
D137215,Q969F8
D137215,Q9BXG8
D137215,P45983
D137215,P62841
D137215,Q8N726
D137215,P50052
D137215,P07711
D137215,Q16610
D137215,P01112
D137215,P05062
D137215,O00488
D137215,Q6VN20
D137215,P17931
D137215,P62753
D137215,Q9BTM9
D137215,O43653
D137215,P38936
D137215,P01116
D137215,P05412
D137215,P10826
D137215,P11509
D137215,P62854
D137215,O15427
D137215,P10809
D137215,P02753
D137215,Q96GD4
D137215,Q6GPH4
D137215,P68032
D137215,P02795
D137215,Q9H6B9
D137215,P28482
D137580,P19113
D137580,P35462
D137580,Q96PX8
D137750,P35354
D137750,P51636
D137750,Q9UM00
D137750,Q99972
D137750,Q8NI36
D137750,Q12948
D137750,Q16678
D137750,Q96CV9
D137750,Q03135
D137750,Q9NNW7
D137760,P35354
D137760,P51636
D137760,Q9UM00
D137760,Q99972
D137760,Q8NI36
D137760,Q12948
D137760,Q96CV9
D137760,Q03135
D137760,Q9NNW7
D137800,P10275
D137800,Q05D60
D137800,Q16288
D137800,O95365
D137800,P06276
D137800,P09211
D137800,P21926
D137800,P11362
D137800,Q7Z4G4
D137800,O14503
D137800,Q9UJY1
D137800,P54278
D137800,P42772
D137800,P57059
D137800,P35354
D137800,P48735
D137800,Q9NUX5
D137800,P36222
D137800,Q13002
D137800,P39905
D137800,P04040
D137800,P51679
D137800,P04439
D137800,P01889
D137800,P60568
D137800,Q969H0
D137800,Q6ZU15
D137800,Q9Y5J3
D137800,P16949
D137800,P02794
D137800,P01563
D137800,P21980
D137800,P05771
D137800,P19544
D137800,P84243
D137800,P51788
D137800,Q16620
D137800,C9JLR9
D137800,P43235
D137800,Q92597
D137800,P11309
D137800,O60934
D137800,P15408
D137800,P60484
D137800,O94806
D137800,P35226
D137800,P51795
D137800,O15151
D137800,P10242
D137800,P04637
D137800,Q13761
D137800,Q04771
D137800,O95990
D137800,P04080
D137800,Q9BSG5
D137800,P43246
D137800,Q92731
D137800,Q96RU7
D137800,P18887
D137800,Q96K58
D137800,Q16828
D137800,Q8N653
D137800,O95980
D137800,O60260
D137800,Q9UBE8
D137800,Q06124
D137800,P17252
D137800,P07858
D137800,Q96AG4
D137800,Q86UB9
D137800,Q8NE28
D137800,P16455
D137800,P14210
D137800,P20336
D137800,P27986
D137800,P51790
D137800,P10451
D137800,P17861
D137800,O75460
D137800,Q00987
D137800,P00441
D137800,P10321
D137800,P50591
D137800,P01375
D137800,Q04206
D137800,Q96GV9
D137800,P30711
D137800,P78362
D137800,Q9NYJ7
D137800,Q9BXP5
D137800,O15297
D137800,P53350
D137800,P24941
D137800,Q9UGI8
D137800,P14780
D137800,P16104
D137800,Q99612
D137800,P42773
D137800,Q86Y01
D137800,P02786
D137800,Q00526
D137800,P04629
D137800,P10243
D137800,P29460
D137800,O15197
D137800,P15056
D137800,P25440
D137800,P51946
D137800,P01584
D137800,P08253
D137800,P01106
D137800,Q92911
D137800,Q9BXM7
D137800,P29590
D137800,P21741
D137800,Q63ZE4
D137800,P51617
D137800,P01040
D137800,Q15022
D137800,Q16644
D137800,P05090
D137800,Q92630
D137800,Q14469
D137800,Q9UBT6
D137800,Q00534
D137800,P51812
D137800,P82970
D137800,P15692
D137800,P10145
D137800,P14415
D137800,P03372
D137800,Q16665
D137800,Q9UBP5
D137800,P45983
D137800,Q8N726
D137800,P01112
D137800,Q8WUZ0
D137800,P04049
D137800,O43490
D137800,Q14134
D137800,O75874
D137800,Q96PU8
D137800,Q15119
D137800,P29459
D137800,P01116
D137800,P08254
D137800,Q6GPH4
D137800,Q01196
D137800,Q96AE4
D137800,P68431
D137800,Q9Y243
D137800,P09038
D137800,Q6J9G0
D138800,Q14145
D140300,P16410
D140300,P09871
D140300,P16473
D140300,Q96P31
D140600,O00571
D140600,Q12765
D140600,P12110
D140600,O60313
D140600,P80162
D140600,Q16891
D140600,P19875
D140600,P48735
D140600,P36222
D140600,P42765
D140600,P04179
D140600,Q8IZP9
D140600,P10768
D140600,P50213
D140600,P84022
D140600,Q13950
D140600,P06733
D140600,P02792
D140600,P30153
D140600,Q92765
D140600,O00299
D140600,O94788
D140600,Q9HBA0
D140600,Q96AB3
D140600,Q8IVL6
D140600,P22004
D140600,P21980
D140600,P49821
D140600,Q15436
D140600,P20618
D140600,O94925
D140600,P43235
D140600,P43026
D140600,P13797
D140600,P52895
D140600,P10909
D140600,P22392
D140600,Q9Y696
D140600,P20264
D140600,O00469
D140600,P01137
D140600,Q96D15
D140600,Q6NVY1
D140600,P37231
D140600,Q9Y2Q3
D140600,P62826
D140600,P15311
D140600,Q14764
D140600,P12644
D140600,P21281
D140600,P51178
D140600,P26038
D140600,O00560
D140600,Q16881
D140600,P16444
D140600,P48307
D140600,P45880
D140600,O43854
D140600,P07339
D140600,P04406
D140600,P11166
D140600,Q9UN19
D140600,O76093
D140600,P06881
D140600,Q12931
D140600,O00217
D140600,Q13326
D140600,P27144
D140600,P13639
D140600,P08559
D140600,P21399
D140600,Q8WUM4
D140600,O95150
D140600,P26447
D140600,Q9C040
D140600,P40939
D140600,P60709
D140600,Q15109
D140600,P08670
D140600,P13804
D140600,Q16555
D140600,Q04828
D140600,P49747
D140600,O15232
D140600,Q9BXN1
D140600,P13637
D140600,P01584
D140600,P27348
D140600,P31040
D140850,O75874
D140850,P60484
D140850,P46937
D140850,P48735
D143100,Q9NR28
D143100,O00519
D143100,O95831
D143100,P17677
D143100,Q8IZ57
D143100,P22466
D143100,P21397
D143100,P11169
D143100,P53805
D143100,O15527
D143100,Q9UHH9
D143100,P27338
D143100,P39905
D143100,Q99808
D143100,P21554
D143465,Q01959
D143465,P43681
D143465,O00222
D143465,Q9NYX4
D143465,P08842
D143465,P14416
D143465,P21554
D143465,Q14831
D143465,P98174
D143465,Q9Y2X7
D143465,Q8IWU9
D143465,P21964
D143465,P21917
D143465,Q9HBK9
D143465,P21918
D143465,P17787
D143465,P25103
D143500,P22309
D143880,P12272
D143880,O15528
D143880,Q06495
D143880,O14788
D143880,P06881
D143880,P01270
D143880,O00300
D143880,Q07973
D143880,Q9UEF7
D143880,P30988
D143880,P01375
D143880,P05231
D143890,P02649
D143890,O96001
D143890,P11150
D143890,P27169
D143890,P02652
D143890,P02656
D143890,P34913
D143890,P06858
D143890,P01130
D143890,Q15165
D143890,P04035
D143890,P10912
D143890,P11597
D144010,P02649
D144010,P11150
D144010,P27169
D144010,P02652
D144010,P02656
D144010,P06858
D144010,P01130
D144010,Q15165
D144010,P04035
D144010,P11597
D144250,P22415
D144250,P48023
D144250,P06858
D144650,Q6Q788
D144700,P08887
D144700,Q9H0V9
D144700,Q8WXK1
D144700,P00558
D144700,P06276
D144700,P40337
D144700,P09211
D144700,P50914
D144700,Q03154
D144700,Q6GMR7
D144700,P35354
D144700,P35225
D144700,P19532
D144700,P04179
D144700,Q7L2R6
D144700,Q99439
D144700,O95185
D144700,P08034
D144700,Q8WU17
D144700,Q9UPZ9
D144700,Q8WTV0
D144700,P13716
D144700,P22303
D144700,P30086
D144700,P01563
D144700,Q13153
D144700,Q14532
D144700,P02511
D144700,P35240
D144700,P40121
D144700,P21980
D144700,Q9BVS4
D144700,P08729
D144700,Q92597
D144700,A6NI15
D144700,Q8N490
D144700,P42575
D144700,P09525
D144700,Q14451
D144700,O15392
D144700,P60484
D144700,Q8NFG4
D144700,P38646
D144700,P20472
D144700,P04637
D144700,Q96HF1
D144700,Q14145
D144700,P78560
D144700,Q8NGP0
D144700,P00352
D144700,Q9C098
D144700,P36894
D144700,Q01973
D144700,P20823
D144700,Q99814
D144700,P07741
D144700,P07858
D144700,Q96Q40
D144700,P05787
D144700,Q6P996
D144700,Q92560
D144700,P20645
D144700,O75460
D144700,Q6SJ93
D144700,P09917
D144700,Q9HB75
D144700,P04792
D144700,P50591
D144700,P78395
D144700,Q04206
D144700,O75030
D144700,P30711
D144700,Q92733
D144700,P07339
D144700,Q9Y646
D144700,P11166
D144700,P09488
D144700,O75204
D144700,Q9H0R1
D144700,Q9GZM5
D144700,O15327
D144700,P07195
D144700,P05231
D144700,P13639
D144700,Q15059
D144700,P12081
D144700,O75342
D144700,O14772
D144700,P11177
D144700,P01189
D144700,Q15848
D144700,P29762
D144700,P35680
D144700,Q96SL1
D144700,Q15369
D144700,Q7Z5L0
D144700,P45983
D144700,Q14201
D144700,P37802
D144700,Q96CA5
D144700,Q12866
D144700,O15527
D144700,P10809
D144700,P24394
D145200,P46776
D145200,P35869
D145200,Q9BZD2
D145500,P05026
D145500,P16520
D145500,P35611
D145500,O15539
D145500,Q9NYX4
D145500,P30556
D145500,P42892
D145500,P20815
D145500,Q16647
D145500,P01019
D145590,O00220
D145590,O14684
D145590,P40763
D145590,P01583
D145590,Q03426
D145590,P05231
D145590,P09919
D145590,P35372
D145590,P35354
D145590,Q86U10
D145590,P01375
D145590,Q8IWU9
D145590,P04179
D145590,P01579
D145590,P01189
D145590,P60568
D145590,P10145
D145590,P28223
D145590,P19438
D145590,P01563
D145590,P08908
D145590,P09429
D145590,P01178
D145590,P18510
D145590,P01236
D145590,P01225
D145590,P06307
D145590,P06850
D145590,P01584
D145590,P01148
D145750,Q6XZB0
D145750,Q6Q788
D146110,Q8NFM7
D146110,P29371
D146110,O60258
D146110,P05093
D146110,P01229
D146110,P11511
D146110,Q9BZD2
D146110,Q9NZU0
D146110,P11362
D146110,Q9C004
D146110,P51843
D146110,A0PJY2
D146110,P30530
D146110,Q9HD15
D146110,Q16828
D146110,P41159
D146110,P01236
D146110,P30968
D146110,Q9UHF0
D146110,P0DN86
D146110,P01225
D146110,O15041
D146110,P01148
D146200,P01270
D146200,O75603
D146255,O75712
D146255,P09211
D146255,Q9ULZ3
D146255,P35354
D146255,P09874
D146255,P20815
D146255,P04179
D146255,P56705
D146255,P50539
D146255,Q86SG6
D146255,Q15493
D146255,P13716
D146255,O95294
D146255,P05019
D146255,P00797
D146255,P05549
D146255,Q9NWX6
D146255,P23771
D146255,Q9UEF7
D146255,P55017
D146255,Q16236
D146255,P47944
D146255,Q16619
D146255,P04839
D146255,P01034
D146255,Q9UBR4
D146255,O15244
D146255,Q9NPC8
D146255,P31270
D146255,P10909
D146255,O95760
D146255,Q7L1I2
D146255,P04083
D146255,P78411
D146255,P29033
D146255,Q9H8M5
D146255,P62736
D146255,P22736
D146255,P01137
D146255,O43567
D146255,Q96D42
D146255,P01588
D146255,Q7LG56
D146255,Q13158
D146255,P48431
D146255,Q96E66
D146255,P02768
D146255,P10451
D146255,P15559
D146255,P35368
D146255,P20849
D146255,P05937
D146255,P09919
D146255,P07911
D146255,P31277
D146255,P50440
D146255,Q07869
D146255,P42898
D146255,P07339
D146255,O43511
D146255,P05164
D146255,Q9BZE0
D146255,P18510
D146255,P09486
D146255,P02671
D146255,P80188
D146255,O00303
D146255,P10632
D146255,Q9NSU2
D146255,P61769
D146255,P30556
D146255,P82251
D146255,Q8TDI8
D146255,P17405
D146255,P01019
D146255,P01189
D146255,P60709
D146255,Q96FL8
D146255,P25106
D146255,Q8NEA6
D146255,P29466
D146255,P38936
D146255,P15090
D146255,Q96TA2
D146255,P02753
D146255,P05305
D146255,Q8N2K0
D146255,Q07654
D146255,P09038
D146255,P11487
D146500,Q9Y2Z4
D146500,P35372
D146500,Q9Y606
D146500,P41143
D147480,P19320
D147480,Q96RI1
D147480,P01375
D147480,Q9H221
D147530,P43220
D147530,P01210
D147530,P01213
D147530,P41145
D147530,Q02297
D147530,O00180
D147530,P14416
D147530,P46663
D147530,P06850
D147530,P01130
D147530,P09919
D147530,P34969
D147530,Q16659
D147530,P35354
D147530,P04792
D147530,O43612
D147530,P01160
D147530,Q8TCW9
D147530,P35225
D147530,Q00266
D147530,Q13519
D147530,P01375
D147530,P30793
D147530,P24385
D147530,P30989
D147530,Q9NQB0
D147530,O60341
D147530,P20396
D147530,P01189
D147530,P04141
D147530,P20366
D147530,P60568
D147530,P31749
D147530,P15248
D147530,P01042
D147530,P01185
D147530,Q16665
D147530,P14780
D147530,P16860
D147530,P04198
D147530,P21964
D147530,Q9GZZ0
D147530,P01563
D147530,P35367
D147530,P08908
D147530,P01178
D147530,P30411
D147530,P41159
D147530,P18510
D147530,P26651
D147530,P01282
D147530,Q8WXF3
D147530,P01137
D147530,O95264
D147530,Q16236
D147530,P35318
D147530,O15527
D147530,Q05586
D147530,Q8NER1
D147530,P09601
D147530,P29972
D147530,P05305
D147530,Q9NRI5
D147530,P19634
D147530,P21554
D147530,P14210
D147530,P02768
D147540,Q99731
D147540,P01920
D147540,P52564
D147540,Q30154
D147540,P00738
D147540,P42830
D147540,P80098
D147540,P10451
D147540,P02776
D147540,P05231
D147540,P32246
D147540,P09341
D147540,P05112
D147540,P29965
D147540,P01911
D147540,P40189
D147540,P78556
D147540,P35225
D147540,P49682
D147540,Q92583
D147540,P01375
D147540,O00175
D147540,Q8NE71
D147540,P01579
D147540,P14778
D147540,P51671
D147540,P78423
D147540,P16109
D147540,P25025
D147540,P20366
D147540,P41597
D147540,P01889
D147540,P05107
D147540,P20333
D147540,P42898
D147540,Q16552
D147540,P01042
D147540,P15509
D147540,Q14116
D147540,P10147
D147540,Q8N668
D147540,P14784
D147540,P19438
D147540,P02775
D147540,Q01344
D147540,P80075
D147540,P13762
D147540,Q07325
D147540,P04798
D147540,Q9NZQ7
D147540,P29466
D147540,P51684
D147540,P01909
D147540,P01137
D147540,P13236
D147540,P51686
D147540,P27930
D147540,Q9UMR7
D147540,P13500
D147540,P01584
D147540,P02768
D148000,P05231
D148100,P02679
D148100,P20231
D148100,P60903
D148100,Q8TDY3
D148100,P14649
D148100,P36955
D148100,P36952
D148100,P14174
D148100,P52565
D148100,Q06830
D148100,P26447
D148100,P07737
D148100,P09382
D148100,P05109
D148100,Q01995
D148100,P29762
D148100,P02792
D148100,P09493
D148100,P58012
D148100,P31947
D148100,Q969H8
D148100,O00299
D148100,P32119
D148100,P02794
D148100,Q9BXN1
D148100,P63241
D148100,P02042
D148100,P40121
D148100,P06702
D148100,P62826
D148100,P02768
D151400,Q96LC9
D151400,P06746
D151400,P06127
D151400,Q99572
D151400,P01106
D151400,Q13342
D151400,O43908
D151400,Q9UHD0
D151400,P05231
D151400,P59901
D151400,P35354
D151400,Q9UKT9
D151400,Q15696
D151400,O14788
D151400,Q15306
D151400,Q9NUX5
D151400,Q06187
D151400,P24385
D151400,Q9NUZ1
D151400,P04637
D151400,Q16769
D151400,P42898
D151400,P11473
D151400,Q9Y6Q6
D151400,P62841
D151400,Q01130
D151400,P10415
D151400,Q01081
D151400,P02786
D151400,Q969Q4
D151400,Q9BZL6
D151400,Q13794
D151400,P43405
D151400,Q9BZB8
D151400,P41182
D151400,Q9P2W6
D151400,P15056
D151400,O00221
D151400,Q13489
D151400,Q13362
D151400,Q9UJU2
D152700,Q7Z7A4
D152700,P10451
D152700,Q9NWZ3
D152700,P51608
D152700,P51617
D152700,P05231
D152700,Q8NDB2
D152700,P21580
D152700,P02741
D152700,P05112
D152700,P06681
D152700,P01911
D152700,Q9NSU2
D152700,P35354
D152700,Q9H4E7
D152700,P22301
D152700,P23510
D152700,Q9Y2R2
D152700,P00751
D152700,P41240
D152700,O60602
D152700,Q9HBE5
D152700,Q13568
D152700,O75626
D152700,P68036
D152700,P10909
D152700,O00115
D152700,P09871
D152700,P04040
D152700,Q8IV61
D152700,O43699
D152700,Q8N697
D152700,P12318
D152700,Q9UQQ2
D152700,P00736
D152700,Q14765
D152700,Q15762
D152700,Q9H244
D152700,P31994
D152700,P36402
D152700,P51451
D152700,O95267
D152700,Q13422
D152700,Q9HBE4
D152700,Q13609
D152700,P16410
D152700,P02746
D152700,P24855
D152700,O75015
D152700,P01909
D152700,P01236
D152700,Q15025
D152700,Q86VZ6
D152700,P12429
D152700,P29460
D152700,P14598
D152700,O43759
D152700,P14921
D152700,Q15116
D152700,P02745
D153880,Q00604
D153880,P15692
D155600,Q6NYC1
D155600,Q92560
D155600,Q01726
D155600,Q92466
D155600,Q9NYB0
D155600,P36507
D155600,P42772
D155600,P19447
D155600,Q15831
D155600,Q96AP0
D155600,P16220
D155600,P60484
D155600,P35222
D155600,P21554
D155600,Q9NUX5
D155600,Q13948
D155600,P50148
D155600,P11802
D155600,P10721
D155600,P18074
D155600,P24385
D155600,O75030
D155600,P04637
D155600,P31749
D155600,P29992
D155600,Q01831
D155600,Q8N726
D155600,P01112
D155600,Q92889
D155600,P04049
D155600,P23025
D155600,Q13153
D155600,O00743
D155600,P01111
D155600,P15056
D155600,P63000
D155600,Q02750
D155600,P16455
D155601,Q6NYC1
D155601,Q92560
D155601,Q92466
D155601,P36507
D155601,Q15831
D155601,P19447
D155601,P16220
D155601,P60484
D155601,P35222
D155601,P21554
D155601,Q13948
D155601,P50148
D155601,P11802
D155601,P10721
D155601,P18074
D155601,P24385
D155601,O75030
D155601,P04637
D155601,P31749
D155601,P29992
D155601,Q01831
D155601,Q8N726
D155601,P01112
D155601,Q92889
D155601,P04049
D155601,P23025
D155601,Q13153
D155601,O00743
D155601,P01111
D155601,P15056
D155601,P63000
D155601,Q02750
D156000,Q9Y4J8
D156000,P05771
D156000,Q96C01
D156190,P10827
D157300,P25101
D157300,P03372
D157300,Q9C0D0
D157300,Q9UN88
D157300,P28223
D157300,P06881
D157300,P50993
D157300,Q14814
D157300,P01375
D157300,P37173
D157300,Q5TD97
D157300,Q9HAC7
D157300,P20366
D157700,P23975
D157700,Q9NZU5
D157950,P05305
D160300,P49773
D160300,P04035
D160300,P09919
D160300,P34969
D160300,Q06210
D160300,P21397
D160300,P23109
D160300,Q9BPX6
D160300,Q8WU10
D160300,P11217
D160300,A4D126
D160300,Q07869
D160300,P48788
D160300,P05413
D160300,P01308
D160300,Q13485
D160300,Q13702
D160300,P05089
D160300,Q9Y6L6
D160300,P23786
D160300,P01137
D160300,O95264
D160300,P07858
D160300,P01584
D160300,P02768
D160750,P18510
D160750,P26639
D161400,O43612
D161900,P10275
D161900,O00206
D161900,P19801
D161900,P09211
D161900,P04070
D161900,Q15831
D161900,P00750
D161900,P19875
D161900,P35354
D161900,P06870
D161900,P05362
D161900,Q9UL62
D161900,P37088
D161900,P48735
D161900,P08913
D161900,P04179
D161900,P20396
D161900,P04040
D161900,P41595
D161900,P00747
D161900,P01185
D161900,P51170
D161900,O60663
D161900,P13716
D161900,P01308
D161900,P35212
D161900,P36382
D161900,P05019
D161900,P06858
D161900,Q99836
D161900,P00797
D161900,Q9NZ08
D161900,Q13324
D161900,P78380
D161900,P01563
D161900,P29279
D161900,P55851
D161900,P00748
D161900,P04798
D161900,P50993
D161900,P55017
D161900,Q16558
D161900,P03951
D161900,P13500
D161900,P07203
D161900,P21980
D161900,Q9UEW8
D161900,P43220
D161900,P07101
D161900,P46695
D161900,P14138
D161900,P04839
D161900,P25098
D161900,P51168
D161900,P49841
D161900,P28845
D161900,Q9BXR6
D161900,P48506
D161900,Q7RTV2
D161900,P01033
D161900,P60484
D161900,P23975
D161900,P30793
D161900,P25025
D161900,P04637
D161900,Q96N87
D161900,Q9BYF1
D161900,O15539
D161900,P54710
D161900,P08588
D161900,Q9NPH5
D161900,Q15599
D161900,P04083
D161900,P42892
D161900,Q96PU5
D161900,Q9Y639
D161900,P05121
D161900,P02775
D161900,P30411
D161900,Q13586
D161900,P01137
D161900,P01588
D161900,P37231
D161900,P01148
D161900,P02768
D161900,P35611
D161900,P00738
D161900,P14416
D161900,P16671
D161900,P08294
D161900,Q13507
D161900,Q05655
D161900,P00441
D161900,P36383
D161900,P06280
D161900,P07911
D161900,P04150
D161900,Q07973
D161900,P07359
D161900,P01375
D161900,Q04206
D161900,Q15311
D161900,Q6UW15
D161900,P01579
D161900,P41220
D161900,Q96D31
D161900,P30711
D161900,P25103
D161900,Q07869
D161900,P19320
D161900,P15502
D161900,P08473
D161900,P01042
D161900,Q9Y210
D161900,P09493
D161900,P14780
D161900,O95747
D161900,O00244
D161900,P48048
D161900,P02788
D161900,P02647
D161900,Q9UKW4
D161900,P23946
D161900,P80365
D161900,P01178
D161900,P17302
D161900,P41159
D161900,P06881
D161900,P14598
D161900,P09601
D161900,Q03135
D161900,P01275
D161900,P29972
D161900,P13498
D161900,P01584
D161900,P08253
D161900,P25101
D161900,P35869
D161900,Q16690
D161900,P0CG29
D161900,P01229
D161900,Q01718
D161900,P23443
D161900,P05231
D161900,P02741
D161900,O14920
D161900,P02649
D161900,P16520
D161900,P30556
D161900,P01160
D161900,P35520
D161900,P08217
D161900,P01100
D161900,P01019
D161900,P01189
D161900,P16109
D161900,Q15848
D161900,P55089
D161900,P11473
D161900,Q16665
D161900,P01270
D161900,P51800
D161900,Q9Y5N1
D161900,P16860
D161900,P22466
D161900,P16050
D161900,P50052
D161900,P10415
D161900,O95399
D161900,Q16853
D161900,Q9Y287
D161900,Q02108
D161900,P40925
D161900,P05412
D161900,P18031
D161900,P05305
D161900,P11597
D164230,O94991
D164230,P28221
D164230,P17481
D164230,P28223
D164230,P31645
D164230,P32239
D165150,P26367
D165150,Q6UXH8
D165150,Q9H8P0
D165150,Q9BX79
D165150,Q8N806
D165150,O95202
D165150,Q9H9P8
D165150,Q8N8R7
D165150,P25490
D165150,P09874
D165150,Q9NRR6
D165150,Q3YEC7
D165150,Q5MNZ6
D165150,O15431
D165150,Q6NZY4
D165150,Q12967
D165150,Q5HYK3
D165150,Q9Y6K1
D165150,P01282
D165150,Q8TF50
D165150,Q9NRI5
D165150,P07101
D165150,P55263
D165150,Q9UM00
D165150,Q9BR61
D165150,Q96EK5
D165150,P52848
D165150,Q96PE3
D165150,Q8IWZ6
D165150,Q8NG48
D165150,P42575
D165150,P06865
D165150,Q16695
D165150,Q96KN2
D165150,P60484
D165150,Q99622
D165150,Q9BSV6
D165150,P15328
D165150,P23560
D165150,Q8NCE0
D165150,O75845
D165150,Q9NXH9
D165150,P16389
D165150,Q96NR3
D165150,Q8NA29
D165150,P50553
D165150,Q9UKM7
D165150,P55316
D165150,Q86UB9
D165150,Q9BY49
D165150,P20248
D165150,Q7Z6J9
D165150,P24534
D165150,P05129
D165150,Q96DA2
D165150,P62805
D165150,P49961
D165150,P23508
D165150,O00189
D165150,Q7Z6L0
D165150,Q6NXR4
D165150,Q15526
D165150,O75398
D165150,Q9BQP7
D165150,Q9HC96
D165150,P18089
D165150,Q9Y5W7
D165150,P11166
D165150,P51649
D165150,P49802
D165150,P06881
D165150,P54802
D165150,Q86XA0
D165150,P35219
D165150,Q969H4
D165150,P51608
D165150,Q96N76
D165150,O00330
D165150,O94905
D165150,Q9BYI3
D165150,O75569
D165150,O15305
D165150,Q06413
D165150,P21802
D165150,Q6IA86
D165150,Q9BXJ9
D165150,Q13608
D165150,P34130
D165150,Q14353
D165150,Q99986
D165150,Q06787
D165150,Q4G0J3
D165199,Q96AG3
D165199,O00206
D165199,Q8TE12
D165199,O00429
D165199,O75712
D165199,Q9BZD2
D165199,Q9HAN9
D165199,Q0ZLH3
D165199,Q14493
D165199,Q8WTS1
D165199,P20783
D165199,Q8N4S9
D165199,A1X283
D165199,Q15475
D165199,P35241
D165199,O76024
D165199,Q8IVM0
D165199,Q4KMQ1
D165199,Q00597
D165199,Q86SU0
D165199,Q92834
D165199,Q6ISB3
D165199,O60443
D165199,P57727
D165199,O60220
D165199,P51659
D165199,P49336
D165199,Q9BRB3
D165199,P42224
D165199,Q8WZ55
D165199,Q8TCS8
D165199,O95718
D165199,P29033
D165199,P63261
D165199,Q8NDX2
D165199,Q8IXL7
D165199,O95677
D165199,Q96E66
D165199,P58743
D165199,Q9UHP9
D165199,P22607
D165199,Q9Y296
D165199,P00441
D165199,Q495M9
D165199,P49335
D165199,P43251
D165199,O43405
D165199,O95500
D165199,O15287
D165199,O43511
D165199,A8MXD5
D165199,O95140
D165199,O00400
D165199,P15848
D165199,Q07817
D165199,Q9Y6N9
D165199,Q8NEW7
D165199,Q12948
D165199,Q12951
D165199,Q99697
D165199,Q14894
D165199,Q9NVI7
D165199,P02649
D165199,O95452
D165199,Q8TDI8
D165199,Q9P202
D165199,P51812
D165199,Q99502
D165199,Q9NR28
D165199,O75489
D165199,Q8TF64
D165199,P60891
D165199,O75838
D165199,P35237
D165199,P58418
D165199,Q8N5K1
D165199,P15313
D165199,Q8N2K0
D165199,P11487
D165720,O00571
D165720,Q12765
D165720,P12110
D165720,O60313
D165720,P80162
D165720,Q16891
D165720,P19875
D165720,P48735
D165720,P36222
D165720,P42765
D165720,P04179
D165720,Q8IZP9
D165720,P10768
D165720,P50213
D165720,P84022
D165720,Q13950
D165720,P06733
D165720,P02792
D165720,P30153
D165720,Q92765
D165720,O00299
D165720,O94788
